Tiger Dojo 22,5ig1jr0lcev6ikafslrcbdh526.epk_dec,,Não Checado,UBW,sophia,,,,,
Castelo Einzbern - pôr do sol / Proposta do Lancer,59qprnoaa1sgb8b2aslss08ihi.epk_dec,,Não Checado,UBW,,,,,,
Determinação / Morte da Illya.,58d6tm47kvkeqf8btu9cien6pr.epk_dec,,Não Checado,UBW,sophia,,,,,
Oferta de lutar juntos / Consentimento,01i04gc7j18gh8j2vhjfli45sa.epk_dec,,Não Checado,UBW,sophia,,,,,
Oferta de lutar juntos / Lady Rin corada,0adkjcq597taj8hqkpdu8m2tvc.epk_dec,,Não Checado,UBW,sophja,,,,,
Oferta de lutar juntos / Recusar,72mo1j0k3qu565r0d4ku5sj97s.epk_dec,,Não Checado,UBW,sophia,,,,,
Interlúdio / Princesa Medea,305nh1kulis4kkpjrmdg42s73s.epk_dec,,Não Checado,UBW,,,,,,
"Dia 13: Acordando ~ Para a floresta / Floresta de inverno, demônio muito irritado",5r57ftil4di1im5njkm8jle388.epk_dec,,Não Checado,UBW,,,,,,
Determinação / Distorção (IV),2mst8dfcdrchncq17lij2n8d84.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Floresta de inverno,3gu68h4uq8kit4020jf9b5p6lt.epk_dec,,Não Checado,UBW,,,,,,
Castelo Einzbern / Titereiro,5qiv422iaagja77gco7kl83d2g.epk_dec,,Não Checado,UBW,,,,,,
Castelo Einzbern / Você é distorcido,1snqhh5a3u219vu4k6cdnu9hqs.epk_dec,,Não Checado,UBW,,,,,,
Dia 13: Noite ~ Para a igreja / Uma conclusão.,36n2hvmdhte163ptqc19erd2gn.epk_dec,,Não Checado,UBW,sophia,,,,,
Dia 13: Noite ~ Para a igreja / Além da noite,3d7hdtmj6bcrs1kbejkgpbmf3s.epk_dec,,Não Checado,UBW,,,,,,
Dia 13: Infiltrando no Castelo Einzbern,7gg30dlldi7j0iauc0k39hi43s.epk_dec,,Não Checado,UBW,,,,,,
Dia 13: Castelo Einzbern / Gilgamesh VS Berserker,79dvln66lfo1g1g4529shi3umf.epk_dec,,Não Checado,UBW,,,,,,
Tiger Dojo 23,11rlccsef040rovdelk4naua75.epk_dec,PH,Revisado,UBW,sophia,,,,,
Dia 14: Alvorada ~ Igreja / A batalha começa,7agfsotifvcanl5ugidmvt42cn.epk_dec,,Não Checado,UBW,,,,,,
Dia 14: Templo subterrâneo da igreja / Confronto,56jvgcdpbs47q3h7v19d3tjps1.epk_dec,,Não Checado,UBW,,,,,,
"Interlúdio / Lança infalível, escudo impenetrável",3abbhn509m1jpgbputkhnqab23.epk_dec,,Não Checado,UBW,,,,,,
Confronto / O esquema excêntrico da Rin,3u3spof0u8lt2l93joegsnavt8.epk_dec,,Não Checado,UBW,,,,,,
"Showdown, conclusão / Decisão",1qh3hjj4g0173ornthn4jn4jd3.epk_dec,,Não Checado,UBW,,,,,,
Decisão / Ideais.,23i1qvp1e5h9t6j1civgirob5s.epk_dec,,Não Checado,UBW,,,,,,
Decisão / Princípios.,7dtta1a6k1l0k76237n90n3jj7.epk_dec,,Não Checado,UBW,,,,,,
Dia 14: Templo subterrâneo da igreja / Reality Marble,2i191qur11hf53rnudifsff5v2.epk_dec,,Não Checado,UBW,,,,,,
Dia 14: ~ Saindo da igreja / Retorno,5k5i18d75ovngot6bsn9hl9t5e.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio: Princesa cativa,3o78km1k3c069985502ei7r1hf.epk_dec,,Não Checado,UBW,,,,,,
Dia 14: Noite profunda ~ / Para o campo de execução,2ejqt78m8m9n1s74snni2kvos8.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Original & Fake,777fnsc9jl6pa3eoupr4ivj2gb.epk_dec,,Não Checado,UBW,,,,,,
"Dia 15: ~ Retorno, noite / Antes da batalha final",0qkeu0ns110upe3hppuuv0kutj.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 15: Alvorada ~ Castelo Einzbern / VS,0ee5tno5ogrqvs2dkjc827s92a.epk_dec,,Não Checado,UBW,sophia,,,,,
Interlúdio / Fim de um herói,5dbgaiais93siqgf69fqd6r7ev.epk_dec,,Não Checado,UBW,,,,,,
Conclusão / Resposta,7f3961dcdejhpg7nt9jq6fsd0g.epk_dec,,Não Checado,UBW,,,,,,
Castelo Einzbern / O inimigo a derrotar,3fcjrufh261iedssd1ej06bj21.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Santo Graal contraditório,4veimff2jkfss98ltceuvbbp9b.epk_dec,,Não Checado,UBW,,,,,,
Última ação / Consultar Rin,6vvsmtim3tij9oqvm5n0r9o7eb.epk_dec,,Não Checado,UBW,,,,,,
Última ação / Chá com Saber,71ah69t5q9u1ouic8cdvr8v24i.epk_dec,,Não Checado,UBW,,,,,,
Última ação / Pensar de novo,28h1l2qusq30kbf0m01oqa1h4b.epk_dec,,Não Checado,UBW,,,,,,
Dia 15: Noite / Memórias do mar,48jlj04fc22h26fkinv2nad3bh.epk_dec,,Não Checado,UBW,,,,,,
Dia 16: Antes da alvorada / Para o Templo Ryudou,68bdug48gqb72o8518kacehr3i.epk_dec,Cão,Revisado,UBW,,,,,,
"Interlúdio: / Ganryu, Nameless",211na0rdkgdbt0esurso60sq6m.epk_dec,PH,Não Checado,UBW,,,,,,
"Confronto / Presente ""Embryo""",1urimna1v23ipif1hg5db6p0fp.epk_dec,,Não Checado,UBW,,,,,,
Batalha final / Sobrecarga de circuito,72ho3qeii238u1g62d6e16f9l5.epk_dec,,Não Checado,UBW,,,,,,
Batalha final / A beleza da natureza,3dp7eomdvnl0gtvelanjjkvr4h.epk_dec,,Não Checado,UBW,,,,,,
Batalha final / Unlimited Blade Works,5k6e62l7i20k2v8c0fhien5fo0.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Colapso do Santo Graal,3d8sjoi96fdd6on95mb3pjl64j.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Um novo desejo,4ifuuak017a57g2f10p427k96i.epk_dec,,Não Checado,UBW,sophia,,,,,
Interlúdio / Fim de um dream,1vru2r5t1vcp7fdpa3jss923ra.epk_dec,,Não Checado,UBW,sophia,,,,,
Conclusão / Último voo,2a4jgn333qk4f0cuahs68blhom.epk_dec,Cão,Revisado,UBW,sophia,,,,,
Dia 16: Circuito circular / Heaven's fall,1kr2a0q3fo1967mgmj9dsvco91.epk_dec,,Não Checado,UBW,sophia,,,,,
Alvorada / Fique longe,3hpillf8gho6iv0utrbvb80amd.epk_dec,,Não Checado,UBW,sophia,,,,,
Tiger dojo 24,2dkbkcdpr1g1lnslpaipogknk9.epk_dec,,Não Checado,UBW,sophia,,,,,
Unlimited Blade Works / True End,43cef98u5qha6bghl4ngt9cnjo.epk_dec,,Não Checado,UBW,sophia,,,,,
Epílogo 2 / True End,0r39e707onr3tbr1r5kgln9qqa.epk_dec,,Não Checado,UBW,,,,,,
Unlimited Blade Works / Good End,3qog5vuaf5aqcs1bbv07fuvssj.epk_dec,,Não Checado,UBW,sophia,,,,,
Dia 4: Manhã / Rin parte,0rdtelfo10si7oi4d5dr7plhu8.epk_dec,,Não Checado,HF,,,,,,
Dia 4: Dojo ~ Igreja / Origens da Guerra do Santo Graal,5flt0gvl4fj41vgh53teovk7mt.epk_dec,,Não Checado,HF,,,,,,
Dia 4: Noite - patrulha / Decisão,0ojbougrde93bjakoac1g8317u.epk_dec,,Não Checado,HF,,,,,,
Ação / Para Miyama,0ioefmlh80mgjrj9emrk2ta1u3.epk_dec,,Não Checado,HF,,,,,,
Ação / Para Shinto,5p6ptj24d1edp1224oucgdb57u.epk_dec,,Não Checado,HF,,,,,,
Dia 4: Tarde da noite - parque / Herdeiro dos Makiri ~ VS Rider,0btnfc90vh09jefiau57d0ffui.epk_dec,Cão,Revisado,HF,,,,,,
"Dia 4: Fora da igreja / Vontade de lutar, espada de combate",2iea6jkms0t7qdppi9k889l5pf.epk_dec,,Não Checado,HF,,,,,,
Dia 4: Entardecer ~ Jantar / Intruso,35l2ovh49p2r4ervmc664rc46l.epk_dec,,Não Checado,HF,,,,,,
Dia 4: Tarde da noite - igreja / Respostas são encontradas apenas no desfecho,3jtan8gljsnoebqluojm8bnkqo.epk_dec,,Não Checado,HF,,,,,,
Dia 4: Manhã - dojo / Saber explica as regras,0040nctdg417cj62m3mtmlufoc.epk_dec,,Não Checado,HF,,,,,,
Dia 4: Manhã / Uma proposta da Rin,1t1ggifpiruadaje8dsmm7fgui.epk_dec,,Não Checado,HF,,,,,,
Dia 5: Trajeto escolar ~ Escola / Pronto?,0q714ijjalbgt080kvbggk3d4r.epk_dec,,Não Checado,HF,,,,,,
Vá! / Sobre a Sakura,4lnk870gfj0djidurmf9tforkr.epk_dec,,Não Checado,HF,,,,,,
Vá / Sobre o Shinji,6hsrgkbbskcmcq9etrtmicpria.epk_dec,,Não Checado,HF,,,,,,
Não! / Maldição caprichada. O demônio está muito irritado.,2s2q8lnv2l5b136f543l244pth.epk_dec,,Não Checado,HF,,,,,,
Dia 5: Intervalo de almoço - Telhado / Consultando a Rin / Condições para uma trégua?,7qa2vl7df3ghhh30qb5clpvm62.epk_dec,Cão,Revisado,HF,,,,,,
Dia 5: Após a escola - Distrito comercial / Filha do inverno ~ Illya (I),5btidl0or40etju0m7fo4ugcne.epk_dec,,Não Checado,HF,,,,,,
Resposta / Uma reação estranha,0rsmulhmoutbl79l1v506r3oad.epk_dec,,Não Checado,HF,,,,,,
Resposta / Fico feliz em ouvir isso.,1tp4g44tdbef67fi4okb4b7olb.epk_dec,,Não Checado,HF,,,,,,
Dia 5: Final da tarde - parque / Assassinato inocente,6gb15nuqn3qf9kuch67fjdsdga.epk_dec,,Não Checado,HF,,,,,,
Dia 5: Retorno - antes do jantar / Quem contará para a Sakura?,48pkv5ek1io9ra4p0vqg7uf1mp.epk_dec,,Não Checado,HF,,,,,,
Pedido / Fuji-nee,6qq819atqtffke074po9lli8nr.epk_dec,,Não Checado,HF,,,,,,
Ação / Eu mesmo,190nn87780j2n9kem4mn6kstb7.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Malak al-Maut,1vj99m7rc4km71udoihkump5o2.epk_dec,,Não Checado,HF,,,,,,
Dia 5: Após o jantar / Ver como a Sakura está?,58s6bu93loo3ol1ets9qtfj5v9.epk_dec,,Não Checado,HF,,,,,,
"Dia 5: Vestiário / Remédio para resfriado, cápsula A",3amr55hi4692dci3o2tsg20nfd.epk_dec,,Não Checado,HF,,,,,,
"Dia 5: Sala de estar / Remédio para resfriado, cápsula C",4pgp4cg0osvd9oha6tmfs40dco.epk_dec,,Não Checado,HF,,,,,,
Dia 5: Tarde da noite ~ Patrulha / Para o Templo Ryudou,2vap8d9l1gmo6sdds9lldkp22a.epk_dec,,Não Checado,HF,,,,,,
Dia 5: Sono / Ilha Sem Forma,17qqot6jvjoghh8dr2qbl2h590.epk_dec,,Não Checado,HF,,,,,,
"Dia 5: Manhã, acordando / Uma manhã típica?",3i4ml1f6i76el11kik9q7u899i.epk_dec,,Não Checado,HF,,,,,,
Dia 5: Café da manhã / A selvageria do Shinji,0j33dlpai798pek1g75vg7m9pg.epk_dec,,Não Checado,HF,,,,,,
Dia 5: Tarde da noite - Terrenos do Templo Ryudou / VS Caster,657evlfl94r7m8eicfhk2okubt.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Desastre,60hmdjfpuiu8r4mlmteibqrkm5.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Acordando ~ manhã / Enfermeira Sakura,1nlgtum27fp9ce1n2nm3r2t1k0.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Enfermeira Sakura / Pergunta ingênua,1eivot4m3t6tr2d17ts6civf8v.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Volta para casa ~ Porta da frente / Grande Encrenca,1kk68ptqkbmeduam44gqgunops.epk_dec,,Não Checado,HF,,,,,,
Resposta / Sorriso frio,0i00b6v5c7uplhudh70o4m1ms2.epk_dec,,Não Checado,HF,,,,,,
Resposta / Sakura amarga,3j8s2d2hag8n6quv8fjk0u841t.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Após o almoço / Decisão,5vu3lp1do485evp43m8td6sr91.epk_dec,,Não Checado,HF,,,,,,
Verificação.,2te9fv0n1eg8ulatqrb8lpm9lj.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Após o almoço - sala de estar / Saber é implacável!,1d3b2b1cbd6dcpk2s8ojsjr4th.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Após o almoço - sala de estar / Momentos tranquilos após o almoço,0ujlpq5qhsh9cqccpsj6n5v1eu.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Parque / Castelo de inverno (II),78i4hgj8lsidk1r4ta0c348enr.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Parque / Filha do inverno ~ Illya (I),2tra3q0t1f215ajl9arfnov11o.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Morte de um herói,2tra3q0t1f215ajl9arfnov11o.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Noite - patrulha / Shinto,6tccr138tocd5m605mlh24gh5o.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Noite - patrulha / Miyama,6lh2u9345e9j0apid8nud8mpcp.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Sono / Fim de um dia,4u606ddv79ldop644nbn0usvlj.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Entardecer / Shinji Matou,3f5i5v1gv9jl6bkejlucdj6lj6.epk_dec,,Não Checado,HF,,,,,,
Ação / Explosão emocional,5nb4dmn5boopochs7t5175m012.epk_dec,,Não Checado,HF,,,,,,
Ação / Contenção,333n8n7hoeeci6o1972cgjacpn.epk_dec,,Não Checado,HF,,,,,,
Dia 6: ~ Noite / Sakura desmaiou ~ Plano de hoje à noite,371bgdemk51ngpqtjlcacm2rn3.epk_dec,,Não Checado,HF,,,,,,
Dia 6: Noite ~ Sono / Sakura Matou (III),4oetckidpnf96qtd21n7hpmcg1.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Antes do quinto período - escadas / Nós dois,2hq04rjgi56a8vqrtpu4i6hcne.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Trajeto escolar ~ Intervalo / Intervalo,14r96vj0kuae2gdptottnmockc.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Após a escola ~ Restaurante chinês / Mapo maravilhoso,26upuqdbjvvo5t77t4kmlf6ore.epk_dec,,Não Checado,HF,,,,,,
Checagem,5be5se4laesfn3tmrghrl6f680.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Tarde / O caminho de casa,39qaumcnagksedrs6pinjbm3b6.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 25,69asscu3h8m7pf01qbjvqlo2pj.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Caminho de casa - interseção / Encontro,7skffhgnjjkvumqil0hsooo5sr.epk_dec,,Não Checado,HF,,,,,,
Decisão / Saudade de casa ~ Illya (III),7uiv3ao05ma4o6ljmvsn7ksb6f.epk_dec,,Não Checado,HF,,,,,,
Decisão / Cinema ~ Illya (III),1qb2ivq7nkdm4lec8prgv6u4t3.epk_dec,,Não Checado,HF,,,,,,
Decisão / Erro,7u1maeop98mk41tppl34of0ri4.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Retorno - sala / Tentação,21177o8gnvptkdceh8d2vmqin8.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Noite profunda - parque / Randomizador de balanço de guerra,3ebb9867shi2vv2a57mjih7aom.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Mar profundo,7r9hnul2801kh8s96p40m9l50e.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Sobrevivência ~ Retorno / Ruptura entre os dois,5mdsoeuaka19hb4eo623tfliuu.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Levantando ~ Café da manhã / Conto de sumô de nuvem passageira,2upu2knnqoedd9hkt12mvi3fa7.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Após o café da manhã / Almoço caseiro da Sakura,55osv6t0b0o42heso6i7l8uvro.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Intervalo de almoço - telhado / Rin Tohsaka (II),38d747n1v9md9san4okpa441om.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Contrato renovado,7393nvt0bv3n0bi2g5400nm1iu.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Retorno - sala / Tentação (noite),3qg5vgruavgo2qpiccsip4ju5m.epk_dec,,Não Checado,HF,,,,,,
Dia 7: Treino de espada ~ Sala / Primeiros socorros da Sakura,65lk95ulj5vq386gkbi20gj34g.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Rampancy,65lk95ulj5vq386gkbi20gj34g.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Saindo da escola / Cidade do crepúsculo,4k6s5c7qutvras0fd717bs0fdu.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Volta para casa ~ Residência Emiya / Batalha pelo Santo Graal,2hlp0ce7h57in5cn7p651ck0cl.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Patrulha noturna / Decisão,5m16lhp5ct4lpe61qk22ua9ok5.epk_dec,,Não Checado,HF,,,,,,
Escolha / Templo Ryudou,7bfvr8rprct9d3th14a6vm17hj.epk_dec,,Não Checado,HF,,,,,,
Escolha / Bronca,1rtni1fdr03gp6h2ugi23upij3.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Tarde da noite - Santuário do Templo Ryudou / Batalha do Templo Ryudou.,4abd7u2iub8bmnjsp8ssn3ppgb.epk_dec,,Não Checado,HF,,,,,,
Escolha / Confiança trágica,3o6vtqjnpjme0n3j7i564s0fov.epk_dec,,Não Checado,HF,,,,,,
Escolha / Morrer juntos,5rd4g5k6dns9o4vkgt4k42va4c.epk_dec,,Não Checado,HF,,,,,,
Escolha / Usar um Selo de Comando,4ue244sh7nc5fcgamopnp62ld2.epk_dec,,Não Checado,HF,,,,,,
Batalha do Templo Ryudou / True Assassin VS Rider,4n07k2teu6bai281c8brs96og2.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Acordando ~ Manhã / A repreensão da Sakura,10qrmeuvgbrt10i8hq5qqou7kk.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Manhã / Desafiando a Sombra,4ibnqqm29tkndeg6pfr1ksbtb4.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Escola / Precognição,2dg9ukt9kpsl4ocfpfj03tit27.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Telhado / O conselho da Rin,03s53lm2filng5qtcuajnpocd6.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Verdade,7ca88qalr6rr5p325ibd4jlb0s.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Jantar / Dia pacífico,482kebn28ei8loj4pa4s2megcu.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Tarde da noite - Templo Ryudou / Assassin ataca,764to7edsvkgfqmpb3mktl6kqp.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / O último espadachim,61fa8uecmr0akk8l0pjkq0f56d.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Tarde da noite - Templo Ryudou / Despedida e juramento,11bblbeg7r8smfev5j5g7f2msp.epk_dec,,Não Checado,HF,,,,,,
Dia 8: Volta para casa ~ Sono / O que foi perdido,771feun6sve3133vfcj65vtqdl.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Crisálida,2stgo5voaibgejt0fo4ud9fh77.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Relatório,1qq591f2i78vmi1omr747tlihv.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 26,4qbaik3vvqp3st3482fpu1232m.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 27,2t300urcm5dftpr8p1ke5gnthc.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Escola ~ Telhado / Relatando para a Rin,7gnbuid19ebsfege69nj6hbdg8.epk_dec,,Não Checado,HF,,,,,,
Resposta / Insatisfeito,2r2duug8utk9jv1abcbvojqph5.epk_dec,,Não Checado,HF,,,,,,
Resposta / Correto,6obqjhihrkekibhra62sh2fll0.epk_dec,,Não Checado,HF,,,,,,
Resposta / Correto,6airt96grsilkhe3ptdso5f5di.epk_dec,,Não Checado,HF,,,,,,
Pergunta da Rin / Próximos passos,2i5nvq8ppr3bs1e9j57hf2724b.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Tarde ~ Showdown / A tragédia de lutar sozinho,015guqcren9nfif0q9jhib85ap.epk_dec,,Não Checado,HF,,,,,,
Pergunta da Rin / Decisão,2276c6ig8t07d7mtqrcdi7rk7c.epk_dec,,Não Checado,HF,,,,,,
Resposta / Sim,0m2u7lt6idgfahlgm2d7296m4h.epk_dec,,Não Checado,HF,,,,,,
Resposta / Quem você pensa que é?,4k301md3ju9d0ub4306f16vcom.epk_dec,,Não Checado,HF,,,,,,
Q&A da Rin / Posso confiar que não vai me trair?,1sfiq9nk69qmrr8mj8l15lkglh.epk_dec,,Não Checado,HF,,,,,,
Resposta / Sim,46r8g052jnugnuev173i6m3p7i.epk_dec,,Não Checado,HF,,,,,,
Resposta / Quem você pensa que é?,0sbmljrtqqdc37h7n3v73q6f30.epk_dec,,Não Checado,HF,,,,,,
Q&A da Rin / Obediência absoluta?,3sqo56jl8c0jr49jcuoq942peu.epk_dec,,Não Checado,HF,,,,,,
Resposta / Deixe-me vencer.,46gsp0ea47dnh52etdlfp8q6sl.epk_dec,,Não Checado,HF,,,,,,
Resposta / Geass,010n3cpidaa39t5luesu2jd16q.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Quarto da Rin ~ Tarde / Decisão.,5mkekn5di5k7158h8m1oepcmtg.epk_dec,,Não Checado,HF,,,,,,
Determinação / Rin está brava,2h9n5vg3m1rchjobg9odu2a40o.epk_dec,,Não Checado,HF,,,,,,
Determinação / Rin está definitivamente brava,2nmk99cu2l8bkh97jmeau5ogre.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Retorno ~ Para a escola / Fim,7ljpmpo6048q4aijiodb3pb2f0.epk_dec,,Não Checado,HF,,,,,,
VS Rider / A verdade sobre a Sakura,3f9hrs3i4ro0uv7h9rtq1rso3a.epk_dec,,Não Checado,HF,,,,,,
Desfazendo os Olhos Místicos / Ajudar a Rin,7pseaoe2ii0eflpggi4u74dek7.epk_dec,,Não Checado,HF,,,,,,
Dia 9: VS Rider / Caixão de pedra,45h4dmbu7sgh3dj21tlbqtq9cn.epk_dec,,Não Checado,HF,,,,,,
Desfazendo os Olhos Místicos / Golpe direto,3bc96u1ibtoev7h6r9pqugrgnv.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Fora da igreja ~ Parque - noite / O que eu devo proteger,22q8m992j02kgsvf29khfg15ab.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Igreja - confrontando Rin / Posição definida,3u1qujdcqlr2pp93jvp660j7o9.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Herói da justiça,17lvdn7u4h01a4pimnnjh8j6vh.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Acordando ~ Manhã / Sakura desfalece,6bi74pp6uuqro109v9c83f8ogp.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Saindo da escola ~ Casa Tohsaka / Fotografia,0vd4uup43kuvku79mon9khni92.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Chuva,4rtun847k6ltcjbvk2vqf4p2rj.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Retorno ~ Porta da frente / Irmãs (II),50rmj05aslkoemqdhn5no6uhiq.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Noite profunda - meu quarto / Aço,03p397ug5j9a3isaph214c92ba.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Quarto da Rin ~ Tarde ~ Retorno / Rin está brava,2lrpommnq1h38lsklrng2t2dnq.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Escola / Irmão e irmã ~ VS Rider,4j863is1i30731dvjpi1cab859.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Noite - igreja / Geass,44rrs1seqjghnkco0kt25a5hpg.epk_dec,,Não Checado,HF,,,,,,
Dia 9: ~ Igreja / Irmãs (I),0tkfu9bkaehutdojkqqi2gagti.epk_dec,,Não Checado,HF,,,,,,
Dia 9: Parque ~ Para a igreja / Correndo sob a chuva,64ub5eglh07avpeo23tlt613qs.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Uma mão amiga,1h9gouhf91imbf1dplkctq7d4e.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 28,21vd6tt76vitr5j70rtefd5cli.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 29,24br34cjqenb8spf9e5l01b3na.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 30,24br34cjqenb8spf9e5l01b3na.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 31,24br34cjqenb8spf9e5l01b3na.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Café da manhã / Rider à mesa de jantar,6ggro7otc8kgrq5jjo4ccgv442.epk_dec,,Não Checado,HF,,,,,,
"Impressões / Sakura, cartão vermelho para a Rider",18v7i6tk22jnl6fchs7mg04cgk.epk_dec,,Não Checado,HF,,,,,,
Impressões / Rider fumegando,4l13pst9g9vackk1d2rehellpk.epk_dec,,Não Checado,HF,,,,,,
"Rider, café da manhã? / Não vou comer",6b3qrsk3d4ihm3rgng6pru7vkj.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Após o café da manhã / Planos futuros,5mk3cott3k739tviekohg445dh.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Verdades ocultas,09m4g9qt115sb9hf5l9q72ang2.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Acordando ~ Manhã / Manhã revigorante,3valvlmhedu7hqdcc8meapevda.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Residência Emiya ~ Indo lá fora / Para a Floresta Einzbern,083pcmo48japqociktgurk6r66.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Floresta Einzbern / Encontro com a Rin,1g5bm4fmd5j2ci85h06oqs438g.epk_dec,,Não Checado,HF,,,,,,
Floresta Einzbern / Para o local da explosão,007d3dc0pm30hejkpr3ib16mad.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Floresta Einzbern...? / Mandala do Reino do Útero Amaldiçoado,4k1sjnki81pm53qdrn5j96df4t.epk_dec,,Não Checado,HF,,,,,,
Floresta Einzbern / Jogo de poder,0okt95q9h8heob1hd88f73ui68.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / A sombra que devora o castelo,01jdjpd32hpq5t9jvmjjpli081.epk_dec,,Não Checado,HF,,,,,,
Floresta Einzbern / Distração,2g67ms0u4cvvfpskj99fsprqin.epk_dec,,Não Checado,HF,,,,,,
Floresta Einzbern / Sangue vertido,18cct7otrvbeamqr2vsuvj7hq0.epk_dec,,Não Checado,HF,,,,,,
Floresta Einzbern / Colapso do expurgo mundial,4k21nt4s0jvbr4skbndbst0b67.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Saindo da igreja / Quem é o meu mestre?,6evgqibb11r2d0dd49hqqvudn5.epk_dec,,Não Checado,HF,,,,,,
Impressões / A Rin está corada,7gb0l1ao6efpoaoo7assr4fcnf.epk_dec,,Não Checado,HF,,,,,,
Impressões / A Illya está feliz,7r448cfq0eviuao6cbu9vr48er.epk_dec,,Não Checado,HF,,,,,,
Floresta Einzbern / Resgatando a Illya ~ Cavaleiro negro,3eure9bgqanssn1r3m5n8g9lji.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Volta para casa ~ Porta da frente / Doce e picante,5586eco39ti71p48l6uffcj6is.epk_dec,,Não Checado,HF,,,,,,
